SKU,nom,effets,poids,vertus,composition,utilisation,prix,codebarre,nomchinois,couleur,bio,brand,lot,icon,Bio id,Lien Amazon ,Lien Temu,Lien Images
ARS,Racine de Ginseng,VITALITÉ ET CLARTÉ D'ESPRIT,50 g,"- Anti-fatigue en renforçant le Qi<br/>
- Renforce les défenses naturelles et l’endurance<br/>
- Améliore la concentration et la mémoire","Racine de Ginseng (Ren shen, Panax ginseng) 50 g ",Infusez 5 fines tranches de ginseng dans de l’eau chaude (80–90 °C) pendant 10 minutes. Buvez l’infusion et consommez également les tranches.,19.80,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1756909547/3665346152911_Ren_Shen_Bai_Ginseng_Panax_ginseng_50g_717f6b4a09.png,人参,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,court,140_H24CX1197,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GY1Q23LV,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603780024246355&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777554528105_q1d8xbkz2s&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=134&folderPath=/24/124
AHGQ,Baies de Goji noires,ANTIOXYDANT ET REVITALISANT,100 g,"Surnommé ""Le roi des anthocyanines"", il est antioxydant, revitalisant et fortifiant pour diminuer les effets du vieillissement, garder l'éclat de la jeunesse et renforcer vos défenses.","Baies de Goji Noires (Hei gou qi, Lycium ruthenicum Murray) 100 g d'origine chinoise, qualité pharmacopée.","À consommer en fruit sec, à infuser en tisane, ou à cuire dans une soupe. Les baies de goji noires ont un goût légèrement sucré avec une note subtilement acidulée.",11.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730990902/3665346217313_Baies_de_Goji_Noires_Hei_Gou_Zi_100g_dc3c61bd7f.png,黑枸杞,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,court,17325A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXFVTH9P,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604385564262780&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=136&folderPath=/24/126
BYPFT,Tisane Défenses Immunitaires Yu Ping Feng Tang,TISANE IMMUNITÉ ET TONUS,100 g,"- Soutient les défenses naturelles<br/>
- Donne du tonus à l'organisme<br/>
- Tonifie le Qi","Astragale Racines (Huang qi, Astragalus membranaceus), Rhizome d'Atractylode (Bai zhu, Atractylodes macrocephala), Silère (Fang feng, Saposhnikovia divaricata).","Ajouter 500 mL d’eau à deux cuillères à soupe (environ 20 g) du mélange, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir. En cure : boire une tasse par jour jusqu'à la fin du sachet.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730365937/3665346393215_Yu_ping_feng_tang_0b78770c35.png ,玉屏风汤,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,court,93225A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GY4WXXLJ,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603505146362885&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777554528105_q1d8xbkz2s&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=161&folderPath=/24/151
AJGL,Herbe de l'immortalité,"ÉQUILIBRE DE LA TENSION, ANTI-OXYDANT & DÉTOX",100 g,"- Favorise le fonctionnement du foie<br/>
- Maintien des équilibres circulatoires<br/>
- Contribue à une tension normale","Herbe de l'immortalité (Jiao gu lan, Gynostemma pentaphyllum) 100 g, d'origine chinoise, qualité pharmacopée.","Ajouter 10 g de plantes à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730370582/3665346132715_Jiao_Gu_Lan_Herbe_de_l_immortalit_Gynostemma_pentaphyllum_8a5270d06f.png,绞股蓝,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,132725A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GPFHT4T6,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603842250913730&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=135&folderPath=/24/125
AFL,Poria,ELIMINATION ET DRAINEUR,100 g,"- Stimule les fonctions éliminatrices<br/>
- Draine les excès d'eau","Poria (Fu ling, Poria cocos) 100 g, d'origine chinoise, qualité pharmacopée.","
Ajouter 10 g de plantes à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.
",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730362902/3665346120217_Fu_Ling_Poria_Poria_cocos_6726f1b78b.png,茯苓,#C47F5E,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,120225A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXGBKYNV,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604054902154249&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777554528105_q1d8xbkz2s&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=162&folderPath=/24/152
AHSW,Renouée à fleurs multiples,SANTÉ CAPILLAIRE,100 g,"- Renforce la santé capillaire<br/>
- Favorise un taux de cholestérol sain<br/>
- Freine l'apparition des cheveux blancs","Renouée à fleurs multiples (He shou wu, Polygonum multiflorum) 100 g, d'origine chinoise, qualité pharmacopée.","Placer 10-15 g de racines dans 500 mL d’eau. Macérer 10 minutes, porter à ébullition et laisser mijoter 20 minutes avant de servir.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730366460/3665346161319_He_Shou_Wu_Sheng_Carpesium_abrotanoides_af97d941c6.png,何首乌,#C47F5E,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,126225A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXG6Q5R9,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604140751183733&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=163&folderPath=/24/153
OGUARL,Guarana graines entières bio,MINCEUR,200 g,"- Aide à la perte de poids<br/>
- Donne du tonus à l'organisme",Guarana graine entière (Paullinia cupana) 200 g.,"Ajouter 5 g de graines à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",24.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1742205741/3665346222454_Guarana_graines_Gua_na_na_guo_Paullinia_cupana_300g_3d76607148.png,,#C47F5E,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_non_ue_720_7c8be4c53a.png,long,174325A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio Non UE,https://www.amazon.fr/dp/B0GYS92KHD,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604271747670913&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=143&folderPath=/24/133
OTHYM,Thym Feuille entière bio,CONFORT RESPIRATOIRE ET DIGESTIF,50 g,"- Contribue à une bonne digestion<br/>
- Réduire les flatulences et ballonnements",Thym feuille entière (Thymus vulgaris) 50 g.,Infuser 5 g de plantes dans une grande tasse d’eau bouillante pendant 5 minutes avant de servir. Peut aussi être utilisée en inhalation.,7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738230808/3665346103319_Bai_Li_Xiang_Thym_Thymus_vulgare_Thymus_L_58b794c04a.png,,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,170425A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GXFYBHYC,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603626428808187&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=155&folderPath=/24/145
OCAMA,Camomille Matricaire fleur entière bio,ELIMINE DES TOXINES,50 g,"- Détoxifie l'organisme<br/>
- Libère les voies respiratoires<br/>
- Soulage les sensibilités de l'estomac",Camomille Matricaire (Matricaria chamomilla) 50 g.,Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739892759/3665346107751_Camomille_romaine_Anthema_nobilis_50g_GL_a113c204a5.png ,,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,107725A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,bio UE,https://www.amazon.fr/dp/B0GXFT39QC,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603483621137520&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=142&folderPath=/24/132
OBLEU,Bleuet Fleur entière bio,IRRITATIONS DES YEUX,30g,"- Réduit la fatigue<br/>
- Contribue à une bonne digestion<br/>
- Apaiser la fatigue visuelle",Bleuet fleur entière bio (Centaurea cyanus) 30g.,Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,12.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737470597/3665346220016_Bleuet_Shi_Che_Ju_Centaurea_cyanus_30g_1_a83c3e617b.png,,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,106625A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GY4QMRTQ,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603930297791996&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=150&folderPath=/24/140
