SKU,nom,effets,poids,vertus,composition,utilisation,prix,codebarre,nomchinois,couleur,bio,brand,lot,icon,Bio id,Lien Amazon ,Lien Temu,Lien Images
AHJ,Cordée des Montagnes - Huang jing,QUINTESSENCE ET LONGÉVITÉ,100 g,"- Donne du tonus à l'organisme<br/>
- Tonifie le Qi<br/>
- Contribue à la santé des séniors","Cordée des montagnes (Huang jing, Polygonatum sibiricum) 100 g, d'origine chinoise, qualité pharmacopée.","Ajouter 5-10 g de racines à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730370517/3665346130117_Huang_Jing_Zhi_Cord_e_des_montagnes_Polygonatum_kingianum_acf544ef58.png,黄精,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,130125A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXGBBQPN,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604248125313705&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=32&folderPath=/24/26
ASY,Igname,TONUS,100 g,"- Soutient les défenses naturelles<br/>
- Donne du tonus à l'organisme","Igname (Shan yao, Dioscorea oppositifolia) 100 g, d'origine chinoise, qualité pharmacopée.","

Placer 10-15 g de rhizome dans 500 mL d’eau. Macérer 10 minutes, porter à ébullition et laisser mijoter 20 minutes avant de servir.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730365981/3665346156018_Shan_Yao_Chao_Igname_Dioscorea_opposita_1a4bcfc25a.png,山药,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,156125A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXG1KMXR,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603926002808770&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=164&folderPath=/24/154
OMURF,Mûrier Feuille entière bio,APAISE LES YEUX,50 g,Apaise les yeux,Mûrier feuille coupée (Morus alba) 50 g.,Prendre 15 g de feuilles et ajouter 500 mL d’eau. Laisser macérer 10 minutes puis bouillir pendant 5 minutes à grand feu avant de servir.,8.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1748367321/3665346228012_M_rier_feuille_coup_e_bio_50g_cd31095c29.png,,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,128025A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GXFTVB5N,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604055388680907&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=141&folderPath=/24/131
AGH,Fleur d'Osmanthus,DÉTOXIFIE LES VOIES RESPIRATOIRES,50 g,"- Libère les voies respiratoires<br/>
- Apaise la gorge","Olivier odorant (Gui hua, Osmanthus fragrans) 50 g, d'origine chinoise, qualité pharmacopée.",Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,13.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730729971/3665346198711_Gui_Hua_Olivier_odorant_Osmanthus_Fragrans_50g_PS_99a18b6547.png,桂花,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,124125A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXG3ZJQP,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604393667661602&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777554528105_q1d8xbkz2s&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=139&folderPath=/24/129
ALZ,Reishi (Ganoderma),TONUS ET IMMUNITÉ,100 g,"Fortifie l'organisme, stimule le foie, favorise la circulation sanguine.","Reishi (Ling zhi, Ganoderma lucidum) 100 g, d'origine chinoise, qualité supérieure.","Ajouter 300 mL d’eau à 5-10 g, macérer 10 minutes, porter à ébullition et laisser mijoter 20 minutes à petit feu. Servir matin et soir.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1728393013/3665346185315_Rei_shi_100g_f44ef490e5.png,灵芝,#DB9331,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,139025A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GPFSNKYL,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603370341400809&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=140&folderPath=/24/130
AHQMEI,Gomphrena Prunier,JEUNESSE CUTANÉE,50 g,"- Retarde le vieillissement cutané<br/>
- Apaise les yeux","Gomphrena prunier (Hong qiao mei, Gomphrena globosa) 50 g, d'origine chinoise, qualité pharmacopée.",Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730717104/3665346194812_Hong_Qiao_Mei_Prunier_rouge_Gomphrena_globosa_50g_PS_ffb794d09a.png ,红巧梅,#C47F5E,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,127925A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXFSFCF7,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604313086715731&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=159&folderPath=/24/149
ORÉGL,"Réglisse bâton entier bio",PROTECTION</BR> DU FOIE,60 g,"- Soulage les sensibilités de l'estomac<br/>
- Favorise le fonctionnement du foie<br/>
- Protège la fonction hépatique<br/>
- Stimule le foie",Réglisse bâton entier (Glycyrrhiza glabra) 60 g.,"Ajouter 5-10 g de racines à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737711639/3665346221112_B_tons_de_R_glisse_80g_205b00989f.png,,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_ue_720_b94313ca55.png,long,165025A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio UE,https://www.amazon.fr/dp/B0GXG47JCH,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603555561879243&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=156&folderPath=/24/146
OCHAR,Chardon-Marie graine entière bio,DÉTOXIFIANT DU FOIE,50 g,"- Contribue à une bonne digestion<br/>
- Favorise le fonctionnement du foie<br/>
- Protège la fonction hépatique<br/>
- Stimule le foie",Chardon-Marie graine entière (Silybum marianum) 50 g.,"Ajouter 10 g de graines à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",6.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1731675884/3665346109915_Chardon_Marie_FR_Shui_Fei_Ji_fa_guo_Silybum_marianum_100g_1ca249aea1.png,,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,109925A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GXG1BB1H,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604100485843751&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=154&folderPath=/24/144
OHIBI,Hibiscus fleur coupée bio,CONFORT DIGESTIF,50 g,"- Contribue à une bonne digestion<br/>
- Stimule le transit intestinal<br/>
- Stimule l'appétit",Hibiscus fleur coupée (Hibiscus sabdariffa) 50 g.,Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739199121/3665346203019_Hibiscus_Hibiscus_sabdariffa_6ab9443325.png,,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_non_ue_720_7c8be4c53a.png,long,174225A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio Non UE,https://www.amazon.fr/dp/B0GXGBG9DF,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604031766365380&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=153&folderPath=/24/143
OMELS,Mélisse feuille coupée bio,DIGESTION ET BALLONNEMENT,80 g,"- Contribue à une bonne digestion<br/>
- Réduire les flatulences et ballonnements<br/>
- Favorise le fonctionnement du foie<br/>
- Stimule le foie",Mélisse feuille coupée (Melissa officinalis) 80 g.,"Ajouter 10 g de plantes à 500 mL d’eau, porter à ébullition et laisser mijoter 5 minutes à petit feu avant de servir.",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1757493936/3665346143827_Melisse_feuille_coupee_bio_Mi_feng_hua_Melissa_officinalis_80g_a7d6b2c247.png,,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,143825A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GXFYDQJ7,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604143972394350&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=144&folderPath=/24/134
OVALÉ,Valériane racine coupée bio,CALME ET DÉTENTE,80 g,"- Facilite l'endormissement<br/>
- Améliore la qualité du sommeil<br/>
- Chasse la nervosité",Valériane racine coupée (Valeriana officinalis) 80 g.,"Ajouter 5 g de racines à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",8.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737711774/3665346162811_Val_riane_Xie_Cao_Valeriana_officinalis_96aa458abd.png,,#454760,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,162825A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GY1VNW3C,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604231482316809&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=151&folderPath=/24/141
OORRA,Ortie piquante racine entière bio,CONFORT DE LA PROSTATE,80 g,"- Aide au confort urinaire<br/>
- Stimule les fonctions éliminatrices<br/>
- Préserve la fonction de la prostate",Ortie piquante racine coupée (Urtica dioica) 80 g.,"Ajouter 10 g de plantes à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",8.50,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1744213567/3665346225714_Ortie_piquante_racine_coup_e_bio_Urtica_dioica_50g_4d153f1388.png,,#2B4A52,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_ue_720_b94313ca55.png,long,147325A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio UE,https://www.amazon.fr/dp/B0GXG5X2F4,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604081158488909&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=148&folderPath=/24/138
OGUIR,Guimauve racine coupée bio,"<SPAN STYLE=""FONT-SIZE:0.7EM"">DÉPURATIF ET CONFORT RESPIRATOIRE</SPAN>",50 g,"- Apaise la gorge <br/>
- Libère les voies respiratoires",Guimauve racine coupée (Althaea officinalis) 50 g.,"Placer 10-15 g de racines dans 500 mL d’eau. Macérer 10 minutes, porter à ébullition et laisser mijoter 20 minutes avant de servir.",7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1737124456/3665346219614_Racine_de_Guimauve_Althaea_officinalis_100_g_5996b244b4.png,,#778A76,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_ue_720_b94313ca55.png,long,124625A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio UE,https://www.amazon.fr/dp/B0GXG21HQP,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603552877493713&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=149&folderPath=/24/139
OTLAU,Tilleul rouge aubier coupé bio,DÉTOXIFIANT DU FOIE,80 g,"- Contribue à une bonne digestion<br/>
- Soulage les sensibilités de l'estomac<br/>
- Favorise le fonctionnement du foie<br/>
- Stimule le foie",Tilleul rouge aubier coupé (Tilia cordata) 80 g.,"Ajouter 15 g d'écorces à 500 mL d’eau, porter à ébullition et laisser mijoter 15 minutes à petit feu avant de servir.",8.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738230779/3665346161715_Tilleul_aubier_Xiao_Ye_Duan_pi_Tilia_cordata_86a8baab7b.png,,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,170425A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GXG7WJS9,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604308791742611&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=10&folder=165&folderPath=/24/155
ORADI,Radis noir racine coupée bio,DÉTOXIFIANT DU FOIE,80 g,"- Réduire les flatulences et ballonnements<br/>
- Favorise le fonctionnement du foie<br/>
- Stimule le foie",Radis noir racine coupée (Raphanus raphanistrum) 80 g.,"Ajouter 5-10 g de racines à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.",8.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738675251/3665346152119_Radis_noir_Hei_luo_bo_Raphanus_raphanistrum_e3b9921f3e.png,,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,152125A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GXFS7TKN,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603770310210143&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=145&folderPath=/24/135
OAUBÉ,Aubépine sommité fleurie coupée bio,ENTRETIEN DES ARTÈRES,70 g,"- Soulage les jambes lourdes<br/>
- Favorise le confort cardiovasculaire<br/>
- Maintien des équilibres circulatoires",Aubépine sommité fleurie coupée (Crataegus laevigata) 70 g.,Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,7.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1739199009/3665346206416_AUBEPINE_somit_s_fleuries_Craegus_monogyna_24337f8cc8.png,,#62ABA5,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738750260/bio_france_720_d2118cd028.png,long,174225A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/conditionnee_en_france_8364b9bd09.png,bio France,https://www.amazon.fr/dp/B0GXG23347,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603415438537731&refer_page_name=manage_products&refer_page_id=20365_1761226431288_4mfjc7mtly&refer_page_sn=20365&_x_sessn_id=esth2usezm,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=152&folderPath=/24/142
ASZ,Fruits d'Aubépine,DIGESTION,100 g,"- Contribue à une bonne digestion<br/>
- Favorise le confort cardiovasculaire<br/>
- Maintien des équilibres circulatoires","Fruits d’Aubépine (Shan zha, Crataegus laevigata) 100 g, d'origine chinoise, qualité pharmacopée.","
Ajouter 10 g de fruits à 500 mL d’eau, porter à ébullition et laisser mijoter 10 minutes à petit feu avant de servir.
",9.80,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730363785/3665346178010_Shan_Zha_Chao_c6e9fabbe5.png,山楂,#85839D,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,156325A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXG4CL8Q,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604009469444968&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1776421534671_setu2vx9gt&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=138&folderPath=/24/128
ABS,Racines de Pivoine Blanche,ÉQUILIBRE FÉMININ,100 g,"- Favorise l'équilibre féminin<br/>
- Calme l’esprit","Pivoine blanche racines (Bai shao yao, Paeonia lactiflora) 100 g, d'origine chinoise, qualité pharmacopée.","
Placer 10-15 g de racines dans 500 mL d’eau. Macérer 10 minutes, porter à ébullition et laisser mijoter 20 minutes avant de servir.
",9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730365068/3665346104118_Bai_Shao_Sheng_Pivoine_blanche_Paeonia_lactiflora_0d75ef7c54.png,白芍药,#D97A8C,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,104125A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GXG4T3SB,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604284347334064&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1776421534671_setu2vx9gt&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=10&folder=166&folderPath=/24/156
AMGH,Boutons de roses,CALME ET DÉTENTE,100 g,"- Améliore la qualité du sommeil<br/>
- Apaise l’esprit<br/>
- Tranquillise le Shen","Boutons de Rose (Mei gui hua, Rosa rugosa) 100 g, qualité pharmacopée.",Infuser 5 g de fleurs dans une grande tasse d’eau bouillante pendant 5 minutes.,9.90,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1730362865/3665346143612_Mei_Gui_Hua_Rosier_Rosa_rugosa_9b252af881.png ,玫瑰花,#454760,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1735901160/Label_bio_transparent_44ff6652a3.png,long,143625A,https://res.cloudinary.com/laboratoire-calebasse/image/upload/v1738682686/made_in_france_d664350e47.png,Non bio,https://www.amazon.fr/dp/B0GY4R86P6,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603734591566487&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1776421534671_setu2vx9gt&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=100&folder=137&folderPath=/24/127
ASFHO,Supergreen Herbe d'Orge,DETOX & ALCANISANT,100 g,"Soulage la sensation de lourdeur digestive
Aide en cas de ballonnements ou de transit lent
Effet alcalinisant puissant
Apporte de l’énergie naturellement",,,,,,,,,,,,https://www.amazon.fr/dp/B0GXG85BL7,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604073642291147&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777561719464_swye1pwj8d&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=10&folder=167&folderPath=/24/1577
ASFCK,Supergreen Chou Kale,ANTIOXYDANTE & NOURRISSANTE,150 g,"Source naturelle de vitamines et minéraux
Soutien en cas de fatigue
Utile en période de stress
Aide à lutter contre le stress oxydatif",,,,,,,,,,,,https://www.amazon.fr/dp/B0GXG3RFTT,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604036061359556&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777561719464_swye1pwj8d&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=10&folder=168&folderPath=/24/158
BSFHOAK,Supergreen Combo Herbe d'orge et Ashitaba,SILHOUETTE & PEAU,100 g,"Régule naturellement les graisses
Favorise une peau nette et lumineuse
Soutient la digestion et allège les ballonnements
Effet alcalinisant et détox doux
Source d’énergie végétale sans excitant",,,,,,,,,,,,https://www.amazon.fr/dp/B0GXFTF8F7,https://www.temu.com/goods.html?_bg_fs=1&goods_id=603964120599359&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777561719464_swye1pwj8d&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=10&folder=169&folderPath=/24/159
BSFHOFM,Supergreen combo Herbe d'orge et extrait de feuilles de Mûrier,EQUILIBRE DU SUCRE,100 g,"Aide à réguler naturellement le sucre
Énergie stable sans pics ni creux
Soutient la digestion et l’équilibre interne
Riche en chlorophylle, fibres et antioxydants
Alternative douce aux envies sucrées",,,,,,,,,,,,https://www.amazon.fr/dp/B0GY1LBQ7C,https://www.temu.com/goods.html?_bg_fs=1&goods_id=604041631396357&_x_sessn_id=ryiuy1wvct&refer_page_name=manage_products&refer_page_id=20365_1777561719464_swye1pwj8d&refer_page_sn=20365,https://prod.strapi.calebasse.com/admin/plugins/upload?sort=createdAt:DESC&page=1&pageSize=10&folder=170&folderPath=/24/160
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
,#REF!,,,,,,,,,,,,,,,,,
